Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
69.319,-8.2675957220781,-24.8604954101689,-16.1508430538372,100.690659,-1207.33667,434.912354
69.322,-8.26865429496927,-24.8600660831894,-16.1607602311487,100.670082,-1207.37439,434.939545
69.325,-8.26071562680461,-24.8536371552957,-16.1762865776043,100.665077,-1207.407471,434.968781
69.328,-8.26806445542013,-24.8434770120097,-16.2040824563687,100.636246,-1207.449829,434.98114
69.331,-8.25176931905993,-24.8405311676061,-16.2012117844357,100.612915,-1207.479614,435.000427
69.333,-8.25863435430302,-24.8433720611356,-16.1867345367007,100.595543,-1207.508423,435.032928
69.336,-8.23923493616384,-24.8374174266276,-16.2089257144735,100.568222,-1207.557739,435.05954
69.339,-8.23369560640989,-24.837494806888,-16.2006600818037,100.55703,-1207.590332,435.090424
69.342,-8.25389715264957,-24.8420951308502,-16.1884665726384,100.528725,-1207.621948,435.114258
69.344,-8.24688918279345,-24.819672236362,-16.2052914465541,100.502441,-1207.671631,435.130951
69.347,-8.26195979201932,-24.8198128688446,-16.1930007299162,100.482285,-1207.714966,435.161957
69.35,-8.26996110532524,-24.8018181467798,-16.2037761405302,100.45977,-1207.754639,435.193604
69.353,-8.26842740512777,-24.8180279759727,-16.1905108498906,100.413948,-1207.803589,435.220337
69.356,-8.26907961340008,-24.8106490341294,-16.2088710911068,100.394005,-1207.85791,435.244415
69.358,-8.2700272185944,-24.8020375451498,-16.1919477575191,100.370453,-1207.88501,435.281433
69.361,-8.27430094393653,-24.7932393755314,-16.2047094780551,100.351364,-1207.928955,435.315155
69.364,-8.27726155757547,-24.7905789924894,-16.1819940296308,100.331367,-1207.979858,435.347992
69.367,-8.28511516228268,-24.7856245293994,-16.1940673399857,100.315239,-1208.027344,435.391449
69.369,-8.28308332274004,-24.7750824209988,-16.1874137084382,100.288712,-1208.067505,435.43158
69.372,-8.28278680152137,-24.7765935705702,-16.1924895675774,100.260895,-1208.112427,435.473724
69.375,-8.33679013867427,-24.7570742248106,-16.2164800645983,100.249496,-1208.156494,435.533569
69.378,-8.35269301769558,-24.7522094209058,-16.1935415544642,100.22847,-1208.202393,435.573425
69.381,-8.38708743152617,-24.6937255901347,-16.1983006774003,100.183189,-1208.276001,435.600006
69.383,-8.39083285155968,-24.6891054031889,-16.1837412245759,100.153938,-1208.319092,435.634644
69.386,-8.40434447587142,-24.6818945211105,-16.1844221386466,100.134415,-1208.366699,435.67218
69.389,-8.41246988424863,-24.6764327430232,-16.1624728475609,100.105484,-1208.418091,435.725494
69.392,-8.4310606884668,-24.6694584242786,-16.1706208344612,100.071144,-1208.462036,435.764801
69.394,-8.44852639079128,-24.6607695806787,-16.1663561284388,100.052757,-1208.50708,435.81076
69.397,-8.46246416641057,-24.6596578608575,-16.1624330937523,100.032852,-1208.556641,435.85672
69.4,-8.4803644387861,-24.6562726935328,-16.1579853539225,100.012093,-1208.600586,435.89325
69.403,-8.51823857667364,-24.6462106812206,-16.1320463321127,99.978508,-1208.652832,435.927063
69.406,-8.51943942977508,-24.6409302405894,-16.1186092752416,99.954735,-1208.706909,435.971954
69.408,-8.53611872066553,-24.6284803581173,-16.1157744155254,99.929253,-1208.759155,436.005524
69.411,-8.540018509997,-24.630207437726,-16.1057002474457,99.918289,-1208.802979,436.038055
69.414,-8.56428229830885,-24.6200217629719,-16.0896685748101,99.892494,-1208.850586,436.067688
69.417,-8.56564577963868,-24.6119219742595,-16.0856838196072,99.857765,-1208.920654,436.097687
69.419,-8.56508223259661,-24.6221543585723,-16.0822546434115,99.833977,-1208.967651,436.132233
69.422,-8.58205351813986,-24.6252051635805,-16.0623986837874,99.802956,-1209.016357,436.147949
69.425,-8.57840538047464,-24.6355711215828,-16.06679960049,99.78511,-1209.068237,436.170441
69.428,-8.58017252162612,-24.6369532139937,-16.0603613385565,99.74926,-1209.126709,436.185059
69.431,-8.58034431946466,-24.6506342091251,-16.0518855389681,99.731331,-1209.179565,436.21875
69.433,-8.59760338351674,-24.654200784715,-16.0492189230422,99.698784,-1209.232178,436.223572
69.436,-8.58728737525928,-24.6604772823696,-16.0412375403643,99.657951,-1209.289307,436.244812
69.439,-8.60573902517513,-24.6540856908576,-16.0342346537381,99.630203,-1209.354736,436.252869
69.442,-8.59104363954395,-24.6759288882921,-16.0419499024504,99.593437,-1209.414062,436.264709
69.444,-8.59151115768911,-24.6746618774951,-16.0610014078091,99.558723,-1209.477417,436.262451
69.447,-8.56984307709336,-24.6828168290963,-16.0704323239791,99.530785,-1209.542847,436.272156
69.45,-8.58814629416754,-24.6757474836124,-16.0650942723126,99.490952,-1209.59729,436.276001
69.453,-8.5787793069953,-24.6628519961638,-16.07604435845,99.43927,-1209.6698,436.262177
69.456,-8.59090333636292,-24.6619495101007,-16.0892752931968,99.407539,-1209.739136,436.26593
69.458,-8.58629513977165,-24.6605403018204,-16.0642505593906,99.369469,-1209.804565,436.261475
69.461,-8.59156218190346,-24.6475428087354,-16.0844593331676,99.316185,-1209.878906,436.247406
69.464,-8.59562860035564,-24.6464753706734,-16.1107647748067,99.277924,-1209.950806,436.242615
69.467,-8.61144730729104,-24.6328131236005,-16.0921906294804,99.244598,-1210.017822,436.225372
69.469,-8.59241459490423,-24.626647753237,-16.1209627699107,99.186401,-1210.093384,436.20575
69.472,-8.59831081615757,-24.6226401696957,-16.116789124178,99.153374,-1210.157104,436.19812
69.475,-8.59354558120384,-24.6184473278207,-16.144537389998,99.108894,-1210.223511,436.170746
69.478,-8.60417558255255,-24.6052755331704,-16.1695042639979,99.057411,-1210.285034,436.144318
69.481,-8.60529553983278,-24.6016424630186,-16.1703216297782,99.028267,-1210.351929,436.117401
